origin_id,origin_type,dest_id,dest_type,distance_miles,transit_time_hours,lane_cost_usd,time_assumption,cost_assumption,mode
Washington DC,DC,Dallas TX,DC,1394.7769636397334,23.24628272732889,2789.5539272794667,Long Haul,$2.00/mi tier,FTL
Washington DC,DC,Los Angeles CA,DC,2707.0720598834178,45.117867664723626,5414.1441197668355,Long Haul,$2.00/mi tier,FTL
Washington DC,DC,CUST_1,Customer,55.691576240196774,1.1138315248039354,167.07472872059031,Medium Haul,$3.00/mi tier,FTL
Washington DC,DC,CUST_2,Customer,120.03108431561682,2.4006216863123364,360.0932529468505,Medium Haul,$3.00/mi tier,FTL
Washington DC,DC,CUST_3,Customer,156.45878443924403,3.1291756887848807,469.3763533177321,Medium Haul,$3.00/mi tier,FTL
Washington DC,DC,CUST_4,Customer,43.40006462466206,1.4466688208220686,250.0,Local,Flat $250 min,FTL
Washington DC,DC,CUST_5,Customer,108.93223922865944,2.178644784573189,326.7967176859783,Medium Haul,$3.00/mi tier,FTL
Washington DC,DC,CUST_6,Customer,89.54189961311188,1.7908379922622375,268.62569883933566,Medium Haul,$3.00/mi tier,FTL
Washington DC,DC,CUST_7,Customer,63.58687532663178,1.2717375065326355,190.76062597989534,Medium Haul,$3.00/mi tier,FTL
Washington DC,DC,CUST_8,Customer,179.38777042856782,3.5877554085713563,538.1633112857035,Medium Haul,$3.00/mi tier,FTL
Washington DC,DC,CUST_9,Customer,91.96350276424693,1.8392700552849386,275.8905082927408,Medium Haul,$3.00/mi tier,FTL
Washington DC,DC,CUST_10,Customer,65.39025504239562,1.3078051008479123,196.17076512718688,Medium Haul,$3.00/mi tier,FTL
Washington DC,DC,CUST_11,Customer,72.41309130881412,1.4482618261762823,217.23927392644237,Medium Haul,$3.00/mi tier,FTL
Washington DC,DC,CUST_12,Customer,183.25349315709565,3.665069863141913,549.760479471287,Medium Haul,$3.00/mi tier,FTL
Washington DC,DC,CUST_13,Customer,177.18517441998813,3.5437034883997627,531.5555232599644,Medium Haul,$3.00/mi tier,FTL
Washington DC,DC,CUST_14,Customer,54.46176142189864,1.089235228437973,163.38528426569593,Medium Haul,$3.00/mi tier,FTL
Washington DC,DC,CUST_15,Customer,142.85943725626416,2.857188745125283,428.57831176879245,Medium Haul,$3.00/mi tier,FTL
Washington DC,DC,CUST_16,Customer,160.30587001141453,3.2061174002282904,480.9176100342436,Medium Haul,$3.00/mi tier,FTL
Washington DC,DC,CUST_17,Customer,133.7831818480489,2.6756636369609783,401.34954554414674,Medium Haul,$3.00/mi tier,FTL
Washington DC,DC,CUST_18,Customer,79.75407902367482,1.5950815804734964,239.26223707102446,Medium Haul,$3.00/mi tier,FTL
Washington DC,DC,CUST_19,Customer,16.396314258167603,0.5465438086055868,250.0,Local,Flat $250 min,FTL
Washington DC,DC,CUST_20,Customer,68.3510031257932,1.367020062515864,205.0530093773796,Medium Haul,$3.00/mi tier,FTL
Washington DC,DC,CUST_21,Customer,100.07591914810187,2.0015183829620375,300.2277574443056,Medium Haul,$3.00/mi tier,FTL
Washington DC,DC,CUST_22,Customer,89.97963205767627,1.7995926411535255,269.9388961730288,Medium Haul,$3.00/mi tier,FTL
Washington DC,DC,CUST_23,Customer,96.12651945045792,1.9225303890091583,288.37955835137376,Medium Haul,$3.00/mi tier,FTL
Washington DC,DC,CUST_24,Customer,118.24174840579417,2.3648349681158836,354.7252452173825,Medium Haul,$3.00/mi tier,FTL
Washington DC,DC,CUST_25,Customer,122.54959590248069,2.450991918049614,367.64878770744207,Medium Haul,$3.00/mi tier,FTL
Washington DC,DC,CUST_26,Customer,77.79600991139101,1.5559201982278201,233.38802973417302,Medium Haul,$3.00/mi tier,FTL
Washington DC,DC,CUST_27,Customer,56.52066895215703,1.1304133790431405,169.5620068564711,Medium Haul,$3.00/mi tier,FTL
Washington DC,DC,CUST_28,Customer,52.194854976357156,1.043897099527143,156.58456492907146,Medium Haul,$3.00/mi tier,FTL
Washington DC,DC,CUST_29,Customer,99.92434653527097,1.9984869307054194,299.7730396058129,Medium Haul,$3.00/mi tier,FTL
Washington DC,DC,CUST_30,Customer,31.134102110790444,1.0378034036930148,250.0,Local,Flat $250 min,FTL
Washington DC,DC,CUST_31,Customer,42.651030894101716,1.4217010298033905,250.0,Local,Flat $250 min,FTL
Washington DC,DC,CUST_32,Customer,179.7437597748883,3.594875195497766,539.2312793246649,Medium Haul,$3.00/mi tier,FTL
Washington DC,DC,CUST_33,Customer,175.158350053149,3.5031670010629803,525.475050159447,Medium Haul,$3.00/mi tier,FTL
Washington DC,DC,CUST_34,Customer,57.27318520816972,1.1454637041633944,171.81955562450918,Medium Haul,$3.00/mi tier,FTL
